,Unnamed: 0,Telegram Channel Name ,Code,Sample imported in Label Studio,Affiliation,Link,# of entries,# Subscribers,Start Date,End date / Collected on,Collected by,Notes
46,47,Операция Z,39.0,,Ru,https://t.me/+L4BiOTrlJI8zMzgy,,,,,,Updated link
47,48,Рамзан Кадыров ❗️ПОНОМАРЬ ВОЙНА,41.0,,Ru,https://t.me/kadyrov9590,2853.0,448055,09/01/2021,05/22/2023,Jennifer,"""❗️"" & "" ' "" excluded from file name."
48,49,"⚡️🇷🇺 Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война) ",,,Ru,https://t.me/swodki,251204.0,275418,09/01/2021,05/22/2023,Jennifer,"522MB! ""⚡️"" & ""🇷🇺"" excluded from file name, periods and commas removed for clarity."
49,50,ВОЙНА [ Россия Украина ],47.0,,,https://t.me/Voyna,12805.0,148287,09/01/2021,05/22/2023,Jennifer,
50,51,Война на Украине | Война с Украиной | Мобилизация,48.0,,,https://t.me/VoinaNaUkraine,13054.0,94293,09/01/2021,05/22/2023,Jennifer,"Everything after the first ""|"" excluded in file name."
51,52,ХРОНИКИ УКРАИНЫ 🇺🇦 НОВОСТИ ВОЙНА,35.0,,Ukr,https://t.me/Hroniki_ua1,7227.0,82560,09/01/2021,05/22/2023,Jennifer,"""🇺🇦"" excluded from file name."
52,53,Война - Украина Россия Херсон,31.0,,,https://t.me/Voyna18,,,,,,Updated link
53,54,Мировая Телега Новостей | Украина Россия Война,37.0,,,https://t.me/novosti_voyny,9903.0,56175,09/01/2021,05/22/2023,Jennifer,""" | "" excluded from file name."
54,55,"Мир сегодня с ""Юрий Подоляка""",50.0,,,https://t.me/yurasumy,8600.0,2706295,09/01/2021,05/22/2023,Jennifer,
55,56,Дмитрий Медведев,51.0,,Ru,https://t.me/medvedev_telegram,315.0,1069523,09/01/2021,05/22/2023,Jennifer,
56,57,Анатолий Шарий,52.0,,Ukr,https://t.me/ASupersharij,19028.0,1159847,09/01/2021,05/22/2023,Jennifer,
57,58,Стрелков Игорь Иванович,53.0,,,https://t.me/strelkovii,4904.0,794298,09/01/2021,05/22/2023,Jennifer,
58,59,НЕВЗОРОВ,,,Ukr,https://t.me/nevzorovtv,7973.0,1099103,09/01/2021,05/22/2023,Jennifer,
59,60,Zelenskiy / Official,,,Ukr,https://t.me/V_Zelenskiy_official,6260.0,933204,09/01/2021,05/22/2023,Jennifer,"This channel contains English posts as well! Also, ""/"" excluded"
60,61,Кровавая барыня,,,Ukr,https://t.me/bloodysx,26919.0,1199821,09/01/2021,05/22/2023,Jennifer,
61,62,Вячеслав Володин,,,Ru,https://t.me/vv_volodin,643.0,982268,09/01/2021,05/22/2023,Jennifer,
62,63,Александр Ходаковский ,,,,https://t.me/aleksandr_skif,2609.0,602485,09/01/2021,05/22/2023,Jennifer,
63,64,Рыбарь,,,,https://t.me/rybar,46299.0,1094427,09/01/2021,05/22/2023,Jennifer,""" ' "" excluded"
64,65,Легитимный ,,,Ukr,https://t.me/legitimniy,15306.0,928250,09/01/2021,05/22/2023,Jennifer,
65,66,Операция Z: Военкоры Русской Весны,,,Ru,https://t.me/RVvoenkor,43118.0,1289079,09/01/2021,05/22/2023,Jennifer,
66,67,Мир Михаила Онуфриенко ,,,,https://t.me/Mikle1On,13559.0,679656,09/01/2021,05/22/2023,Jennifer,
67,68,Маргарита Симоньян,,,Ru,https://t.me/margaritasimonyan,12703.0,491191,09/01/2021,05/22/2023,Jennifer,
68,69,СОЛОВЬЁВ ,,,Ru,https://t.me/SolovievLive,174058.0,1330510,09/01/2021,05/22/2023,Jennifer,220MB
69,70,Генерал СВР ,,,,https://t.me/generalsvr,1037.0,368638,09/01/2021,05/22/2023,Jennifer,
70,71,Colonelcassad ,,,,https://t.me/boris_rozhin,85735.0,"837,230",09/01/2021,05/22/2023,Jennifer,
71,72,Сталингулаг,,,Ukr,https://t.me/stalin_gulag,6426.0,"482,316",09/01/2021,05/22/2023,Jennifer,
72,73,Военный обозреватель,,,,https://t.me/new_militarycolumnist,102035.0,"205,316",09/01/2021,05/22/2023,Jennifer,""" ' "" excluded."
73,74,Марочко Live,,,,https://t.me/marochkolive,38429.0,"28,364",09/01/2021,05/22/2023,Jennifer,
74,75,Оперативные сводки ,,,,https://t.me/opersvodki,13996.0,576748,09/01/2021,05/22/2023,Jennifer,
75,76,Старше Эдды,,,,https://t.me/vysokygovorit,11354.0,617648,09/01/2021,05/22/2023,Jennifer,
76,77,Владлен Татарский ,,,,https://t.me/vladlentatarsky,17305.0,479593,09/01/2021,05/22/2023,Jennifer,
77,78,"Неофициальный Безсонов ""Z""",,,Ru,https://t.me/NeoficialniyBeZsonoV,3985.0,477866,09/01/2021,05/22/2023,Jennifer,
78,79,ZАПИСКИ VЕТЕРАНА,,,Ru,https://t.me/notes_veterans,9216.0,306660,09/01/2021,05/22/2023,Jennifer,
79,80,ZERGULIO🇷🇺,,,Ru,https://t.me/SergeyKolyasnikov,47482.0,238366,09/01/2021,05/22/2023,Jennifer,Emoji excluded!
80,81,АГС_Z_Донбасса ,,,Ru,https://t.me/Ags_Donbass,169999.0,208190,09/01/2021,05/22/2023,Jennifer,246MB
81,82,ЗеРада,,,,https://t.me/ZeRada1,12141.0,336923,09/01/2021,05/22/2023,Jennifer,
82,83,Минобороны России,,,Ru,https://t.me/mod_russia,13408.0,489829,09/01/2021,05/22/2023,Jennifer,
83,84,СИЛОВИКИ 🇷🇺 ,,,Ru,https://t.me/SIL0VIKI,66504.0,307349,09/01/2021,05/22/2023,Jennifer,Emoji excluded.
84,85,Марьяна Батьковна ,,,,https://t.me/maryananaumova,1215.0,77262,09/01/2021,05/22/2023,Jennifer,""" ' ""s excluded."
85,86,kungurov,,,,https://t.me/alekseykungurov,628.0,23558,09/01/2021,05/22/2023,Jennifer,
86,87,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺,,,Ru,https://t.me/rusich_army,,783497,,,,
87,88,Старше Эдды,,,,https://t.me/vysokygovorit,,620820,,,,
88,89,Военная хроника,,,,https://t.me/milchronicles,,317044,,,,
89,90,First Новости Войны,,,,https://t.me/first_political,,397534,,,,
90,91, Видео с СВО 18+,,,,https://t.me/video_s_svo,,2098,,,,
